,hn_1,best_match
1761,NA,
1762,NA,CARLL AND MYRTLE AVE DRANT FREDERICK
1763,NA,
1764,NA,
1765,NA,
1766,NA,
1767,NA,DEBEVOISE AND FULTON AVE
1768,NA,
1769,NA,
1770,NA,
1771,NA,
1772,NA,
1773,NA,
1774,NA,
1775,NA,
1776,25,BEAVER
1777,25,BEAVER
1778,NA,
1779,NA,
1780,NA,
1781,NA,
1782,NA,
1783,NA,
1784,NA,
1785,NA,
1786,NA,
1787,NA,
1788,NA,
1789,NA,
1790,NA,
1791,NA,
1792,NA,
1793,NA,PACIFIC
1794,NA,
1795,NA,
1796,28,SOUTH
1797,NA,
1798,103,MAIDEN LN
1799,NA,
1800,NA,
1801,NA,
1802,NA,
1803,NA,
1804,NA,
1805,NA,
1806,NA,
1807,NA,
1808,NA,
1809,83,PEARL
1810,NA,
1811,NA,
1812,NA,
1813,132,WATER
1814,NA,
1815,NA,
1816,NA,
1817,NA,
1818,NA,
1819,NA,
1820,NA,
1821,6,PINE
1822,117,PEARL
1823,100,BROADWAY
1824,NA,
1825,NA,
1826,NA,
1827,NA,
1828,NA,
1829,NA,
1830,NA,
1831,NA,
1832,65,ANN
1833,NA,
1834,65,ANN
1835,NA,
1836,NA,
1837,NA,
1838,NA,
1839,NA,
1840,NA,
1841,NA,
1842,NA,
1843,NA,
1844,323,GOLD
1845,NA,
1846,NA,
1847,NA,
1848,NA,
1849,NA,
1850,NA,MERCHANT
1851,NA,
1852,NA,
