"","hn_1","best_match","street_type","base_function","suffix_true","both_true"
"3019",NA,"","ST",NA,NA,NA
"3020",NA,"","ST",NA,NA,NA
"3021",NA,"","ST",NA,NA,NA
"3022",NA,"","ST",NA,NA,NA
"3023",NA,"","ST",NA,NA,NA
"3024",NA,"","ST",NA,NA,NA
"3025",NA,"","ST",NA,NA,NA
"3026",NA,"","ST",NA,NA,NA
"3027",NA,"COLUMBIA AND ATLANTIC","ST","COLUMBIA AND ATLANTIC ST","COLUMBIA AND ATLANTIC ST","COLUMBIA AND ATLANTIC ST"
"3028",NA,"","ST",NA,NA,NA
"3029",NA,"","ST",NA,NA,NA
"3030",NA,"","ST",NA,NA,NA
"3031",NA,"FULTON BANK","ST","FULTON BANK ST","FULTON BANK ST","FULTON BANK ST"
"3032",NA,"","ST",NA,NA,NA
"3033",NA,"","ST",NA,NA,NA
"3034",NA,"","ST",NA,NA,NA
"3035",NA,"","ST",NA,NA,NA
"3036",NA,"","ST",NA,NA,NA
"3037",NA,"","ST",NA,NA,NA
"3038",NA,"","ST",NA,NA,NA
"3039",NA,"","ST",NA,NA,NA
"3040",NA,"","ST",NA,NA,NA
"3041",NA,"","ST",NA,NA,NA
"3042",NA,"","ST",NA,NA,NA
"3043",NA,"","ST",NA,NA,NA
"3044",NA,"","ST",NA,NA,NA
"3045",NA,"","ST",NA,NA,NA
"3046",NA,"","ST",NA,NA,NA
"3047",NA,"","ST",NA,NA,NA
"3048",NA,"","ST",NA,NA,NA
"3049",NA,"","ST",NA,NA,NA
"3050",NA,"","ST",NA,NA,NA
"3051",NA,"","ST",NA,NA,NA
"3052",NA,"","ST",NA,NA,NA
"3053",NA,"","ST",NA,NA,NA
"3054",NA,"","ST",NA,NA,NA
"3055",NA,"","ST",NA,NA,NA
"3056",43,"FULTON","ST","43 FULTON ST","43 FULTON ST","43 FULTON ST"
"3057",NA,"","ST",NA,NA,NA
"3058",NA,"","ST",NA,NA,NA
"3059",NA,"","ST",NA,NA,NA
"3060",39,"BURLING SLIP","SLIP","39 BURLING SLIP","39 BURLING SLIP","39 BURLING SLIP"
"3061",NA,"","ST",NA,NA,NA
"3062",NA,"","ST",NA,NA,NA
"3063",NA,"","ST",NA,NA,NA
"3064",NA,"","ST",NA,NA,NA
"3065",NA,"","ST",NA,NA,NA
"3066",NA,"","ST",NA,NA,NA
"3067",NA,"","ST",NA,NA,NA
"3068",NA,"","ST",NA,NA,NA
"3069",NA,"","ST",NA,NA,NA
"3070",NA,"","ST",NA,NA,NA
"3071",48,"FULTON","ST","48 FULTON ST","48 FULTON ST","48 FULTON ST"
"3072",20,"FLETCHER","ST","20 FLETCHER ST","20 FLETCHER ST","20 FLETCHER ST"
"3073",26,"PLATT","ST","26 PLATT ST","26 PLATT ST","26 PLATT ST"
"3074",NA,"","ST",NA,NA,NA
"3075",NA,"","ST",NA,NA,NA
"3076",NA,"","ST",NA,NA,NA
"3077",NA,"","ST",NA,NA,NA
"3078",270,"ATLANTIC","ST","270 ATLANTIC ST","270 ATLANTIC ST","270 ATLANTIC ST"
"3079",60,"FULTON","ST","60 FULTON ST","60 FULTON ST","60 FULTON ST"
"3080",NA,"","ST",NA,NA,NA
"3081",NA,"","ST",NA,NA,NA
"3082",NA,"","ST",NA,NA,NA
"3083",NA,"","ST",NA,NA,NA
"3084",119,"FULTON","ST","119 FULTON ST","119 FULTON ST","119 FULTON ST"
"3085",NA,"","ST",NA,NA,NA
"3086",NA,"","ST",NA,NA,NA
"3087",NA,"","ST",NA,NA,NA
"3088",NA,"","ST",NA,NA,NA
"3089",NA,"","ST",NA,NA,NA
"3090",NA,"","ST",NA,NA,NA
"3091",NA,"","ST",NA,NA,NA
"3092",NA,"","ST",NA,NA,NA
"3093",NA,"","ST",NA,NA,NA
"3094",NA,"","ST",NA,NA,NA
"3095",NA,"","ST",NA,NA,NA
"3096",NA,"","ST",NA,NA,NA
"3097",NA,"","ST",NA,NA,NA
"3098",NA,"","ST",NA,NA,NA
"3099",NA,"","ST",NA,NA,NA
"3100",NA,"","ST",NA,NA,NA
"3101",NA,"","ST",NA,NA,NA
"3102",NA,"","ST",NA,NA,NA
"3103",NA,"","ST",NA,NA,NA
"3104",NA,"","ST",NA,NA,NA
"3105",NA,"","ST",NA,NA,NA
"3106",NA,"","ST",NA,NA,NA
"3107",NA,"","ST",NA,NA,NA
"3108",NA,"","ST",NA,NA,NA
"3109",NA,"","ST",NA,NA,NA
"3110",NA,"","ST",NA,NA,NA
"3111",NA,"","ST",NA,NA,NA
"3112",NA,"","ST",NA,NA,NA
"3113",NA,"","ST",NA,NA,NA
"3114",NA,"","ST",NA,NA,NA
"3115",NA,"","ST",NA,NA,NA
"3116",NA,"WYCKOFF","ST","WYCKOFF ST","WYCKOFF ST","WYCKOFF ST"
"3117",NA,"","ST",NA,NA,NA
"3118",NA,"","ST",NA,NA,NA
"3119",NA,"","ST",NA,NA,NA
"3120",NA,"","ST",NA,NA,NA
"3121",NA,"","ST",NA,NA,NA
"3122",NA,"","ST",NA,NA,NA
"3123",NA,"","ST",NA,NA,NA
"3124",NA,"","ST",NA,NA,NA
"3125",105,"FULTON","ST","105 FULTON ST","105 FULTON ST","105 FULTON ST"
"3126",NA,"","ST",NA,NA,NA
"3127",NA,"","ST",NA,NA,NA
"3128",NA,"BROOKLYN DAILY FREEMAN 291 FULTON","ST","BROOKLYN DAILY FREEMAN 291 FULTON ST","BROOKLYN DAILY FREEMAN 291ST FULTON ST","BROOKLYN DAILY FREEMAN 291ST FULTON ST"
"3129",NA,"","ST",NA,NA,NA
"3130",NA,"","ST",NA,NA,NA
"3131",2,"BATTERY PL","PL","2 BATTERY PL","2 BATTERY PL","2 BATTERY PL"
"3132",77,"PACIFIC","ST","77 PACIFIC ST","77 PACIFIC ST","77 PACIFIC ST"
"3133",NA,"","ST",NA,NA,NA
"3134",NA,"","ST",NA,NA,NA
"3135",NA,"","ST",NA,NA,NA
"3136",NA,"WARREN","ST","WARREN ST","WARREN ST","WARREN ST"
"3137",NA,"","ST",NA,NA,NA
"3138",NA,"","ST",NA,NA,NA
"3139",NA,"","ST",NA,NA,NA
"3140",NA,"","ST",NA,NA,NA
"3141",NA,"","ST",NA,NA,NA
"3142",NA,"","ST",NA,NA,NA
"3143",NA,"","ST",NA,NA,NA
"3144",NA,"","ST",NA,NA,NA
"3145",NA,"","ST",NA,NA,NA
