,hn_1,best_match1
1172,445,BROADWAY
1173,5,
1174,16,COTTAGE PL
1175,8,
1176,NA,
1177,NA,GANSEVOORT
1178,10,BOWERY
1179,138,ELM
1180,81,NORFOLK
1181,9,S WILLIAM
1182,550,4
1183,91,DELANCEY
1184,103,WILLETT
1185,585,4
1186,38,
1187,585,4
1188,26,PARK PL
1189,69,PIKE
1190,69,PIKE
1191,11,LAIGHT
1192,89,WILLIAM
1193,100,GOLD
1194,497,BROADWAY
1195,115,NASSAU
1196,NA,MISSIONS
1197,350,BROOME
1198,50,BROAD
1199,354,BROOME
1200,44,CORTLANDT
1201,88,PITT
1202,88,BROADWAY
1203,36,
1204,150,
1205,251,BROADWAY
1206,61,JOHN
1207,150,NASSAU
1208,82,WALL
1209,20,CHAMBERS
1210,358,BROOME
1211,233,W 24
1212,71,AVE
1213,48,1 H 194 CAR
1214,94,DELA
1215,72,FORSYTH
1216,33,W 13
1217,72,FORSYTH
1218,213,W 21
1219,52,JOHN
1220,156,E BROADWAY
1221,313,WATER
1222,153,DELANCEY
1223,176,DUANE
1224,166,SPRING
1225,NA,BROADWAY H 27 AND 28
1226,642,HOUSTON
1227,78,HUDSON
1228,NA,W MSB RG
1229,118,SHERIFF
1230,247,7
1231,35,BLEECKER
1232,16,MERCER
1233,166,S WATER U
1234,143,LEWIS
1235,22,FRANKFORT
1236,42,RUTGERS
1237,NA,W MSBURGH
1238,282,HENRY
1239,NA,JERSEY
1240,NA,W MSB GH
1241,42,CORTLANDT
1242,82,WOOSTER
1243,319,8
1244,78,KENT AVE
1245,166,READE
1246,160,BROOME
1247,6,BAYARD
1248,6,BAYARD
1249,276,AVE 3
1250,636,G WICH
1251,20,LEONARD
1252,66,
1253,453,HUDSON
1254,NA,W 27 AND AVE 8
1255,44,ROBINSON
1256,55,BOND
1257,43,LONDON TER
1258,534,4
1259,7,AND 8
1260,73,NORFOLK
1261,69,JAMES
1262,49,E 24
1263,NA,W 29 AND AVE 8
1264,16,MORTON
1265,279,BROOME
1266,157,BROOME
1267,NA,E 19 AND AVE 3
1268,NA,W 33D AND AVE 9
1269,130,FORSYTH
1270,77,BARROW
1271,86,WEST
1272,NA,ORCHARD
1273,14,PELHAM
1274,6,YORK
1275,NA,3903G WATER
1276,272,RIVINGTON
1277,65,UNION PL
1278,NA,BKLYN
1279,112,HENRY
1280,66,CROSBY
1281,NA,ALLEN
1282,114,MCDOUGAL
1283,7,W 16
1284,270,WALKER
1285,63,CLINTON
1286,25,LEON
1287,69,CHARLTON
1288,337,GRAND
1289,159,MOTT
1290,446,WASHINGTON
1291,146,AVE 5
1292,20,LEONARD
1293,123,FORSYTH
1294,NA,BROOKLYN
1295,NA,BROADWAY
1296,70,RIVINGTON
1297,33,THI
1298,126,MOR
1299,121,NORFOLK
1300,153,W 28
1301,6,ESSEX
1302,30,UNIVERSITY PLAEC
1303,443,GREENWICH
1304,54,BEDFORD
1305,213,W 13
1306,6,AND VOORT PL
1307,65,VARICK
1308,94,E 15
1309,93,CHRYS
1310,3,12
1311,NA,29
1312,85,MARION
1313,512,BROOME
1314,47,SPRING
1315,305,HUDSON
1316,260,DINCY
1317,155,ELDRIDGE
1318,235,BROOME
1319,71,MUL
1320,38,E BROADWAY
1321,39,RENWICH
1322,61,CANNON
1323,107,LEWIS
1324,77,FACTORY
1325,7,CHRYSTIE
1326,166,CHATH
